1	47.6	-5.4	6.5	55351.3222143	-1.8	35.2	16.3
2	117	-14.6	15.4	55351.4659661	-28	282.6	25.4
3	165.4	-14.9	19.8	55477.3930984	-51.2	169.5	7.1
4	28.4	-2.5	2.7	55567.6388127	-27.2	133.9	9.8
5	34.3	-4.3	3.5	55571.2585362	-45.1	15.6	24.1
6	63.2	-8	7.1	55685.6629713	33.6	151.3	16.5
7	97.2	-12.4	10.4	55695.2730461	-29.4	5	8.1
8	88.4	-10.7	12.5	55714.5909345	-8.9	155.3	16.7
9	104.1	-13.2	12.5	55739.4411232	-52.8	296.1	9.8
10	1040.7	-144.4	131.6	55782.5161911	-27.9	265.6	13.2
11	57.5	-7.8	8.3	55783.1854223	-49.7	287.3	19.7
12	30.6	-3.5	3.6	55798.6271285	-22.6	192.1	19.4
13	199.7	-26.8	27.2	55800.3755483	14.5	247.4	11.6
14	71.5	-7.2	7	55925.7958619	-59.7	76.9	9.7
15	1140.8	-132.8	142.8	55929.3986279	-67.2	38.3	10.7
16	30.2	-3.3	3.5	55936.5416484	-24	9	20.9
17	219.5	-24.4	21.2	55941.9757813	-22.1	293.7	12.1
18	30.5	-2.6	3.2	55950.8474912	-15.1	282.2	15.5
19	33.5	-5	4.9	55966.7422488	-14.5	286	46.3
20	210	-25.8	29	55979.255175	22.7	143.4	11.8
21	60.2	-5.6	5.6	56008.6845644	-12.6	121.7	6.6
22	32.7	-2.9	3.2	56108.2572046	41	298.1	7.4
23	128.7	-12.5	13.8	56115.7283574	-82.7	103.2	8
2	42.5	-5.7	5.4	56176.3914143	78.3	146.1	26
25	384.7	-48.6	46.4	56221.3424023	7.8	292.5	13.5
26	42.1	-6.3	6.5	56228.6055226	31.3	323.4	42.7
27	2003.7	-261.5	236.2	56265.1338677	-55.8	208.4	15.9
28	28.9	-2.6	3	56308.164274	-3	257.7	11.7
29	101.3	-11.6	13.3	56480.6617877	-17.9	106.2	14.2
30	157.3	-16.7	15.9	56501.1641008	-48.5	143.9	11.7
31	87.6	-10	8.4	56603.1116854	3.3	66.1	11.1
32	76.3	-11.6	10.3	56613.256689	-25.3	42.5	20.7
33	158	-16.6	15.3	56688.0702948	-22.3	150.5	7.6
34	104.7	-10.2	13.5	56705.9419933	-33.2	213	8.1
35	59.9	-7.9	8.3	56722.4083554	-26.3	203.2	21.8
36	22.2	-2	2.3	56737.2004652	59.3	168.6	8.2
37	66.2	-6.1	6.7	56759.215956	54	88.6	6.5
38	158.1	-18.4	16.3	56763.5448147	-54	252.8	7.8
39	54.5	-6.3	5.1	56769.0295975	6	170.5	11.6

